date,open,close,high,low,volume
2023-05-10,3805.600,3811.66,3829.210,3760.570,20779267017.000
2023-05-11,3868.900,3862.85,3886.910,3801.670,22800867875.000
2023-05-12,3928.930,3874.11,3933.050,3859.850,27561823353.000
2023-05-15,3847.930,3925.5,3955.580,3829.090,25681618183.000
2023-05-16,3990.850,3958.25,3993.050,3935.160,17928729584.000
2023-05-17,3975.200,3870.09,3977.270,3859.150,23137437814.000
2023-05-18,3911.700,3917.09,3957.680,3896.600,29447922506.000
2023-05-19,3868.300,3821.73,3872.170,3810.100,28293143045.000
2023-05-22,3836.600,3903.58,3942.630,3821.810,22813447346.000
2023-05-23,3924.480,3852.45,3947.790,3840.690,19613747200.000
2023-05-24,3813.790,3775.93,3827.510,3762.130,18800536622.000
2023-05-25,3747.290,3691.16,3768.220,3651.210,30376650421.000
2023-05-29,3735.810,3647.26,3751.160,3639.900,34672322452.000
2023-05-30,3667.760,3702.13,3709.860,3621.720,24579407849.000
2023-05-31,3656.460,3626.73,3656.460,3563.990,53273628883.000
2023-06-01,3617.570,3630.87,3723.340,3611.290,31475165161.000
2023-06-02,3727.170,3824.28,3843.890,3724.820,46149793978.000
2023-06-05,3814.520,3840.77,3852.590,3785.550,24261320950.000
2023-06-06,3847.500,3834.34,3908.980,3810.800,20927510314.000
2023-06-07,3923.570,3921.02,3946.970,3892.050,22421848623.000
2023-06-08,3907.600,3894.3,3914.130,3850.490,17800218835.000
2023-06-09,3915.950,3934.22,3949.710,3865.570,23287379758.000
2023-06-12,3949.340,3944.67,3957.610,3895.710,18315549534.000
2023-06-13,3943.790,4038.2,4059.790,3937.850,28636230374.000
2023-06-14,4058.420,4052.69,4117.160,4033.760,26215556147.000
2023-06-15,4128.660,4198.32,4199.190,4104.380,35742166959.000
2023-06-16,4218.900,4233.49,4271.280,4182.730,59365135254.000
2023-06-19,4205.110,4178.25,4220.510,4110.640,25857669839.000
2023-06-20,4168.840,4075.17,4175.880,4050.500,22550836868.000
2023-06-21,3986.520,3961.58,4016.670,3950.660,24926553493.000
2023-06-23,3944.810,3879.33,3944.810,3847.030,15671476474.000
2023-06-26,3864.160,3872.61,3922.100,3849.900,21047960520.000
2023-06-27,3889.340,3972.17,3992.840,3886.630,20380634549.000
2023-06-28,3967.290,4001.97,4019.510,3918.970,20579460941.000
2023-06-29,3995.810,3933.44,4000.010,3901.490,19787863010.000
2023-06-30,3920.820,3911.31,3946.530,3888.110,22458637860.000
2023-07-03,3942.620,4054.35,4072.980,3942.620,21084844301.000
2023-07-04,4037.240,4074.42,4096.530,4014.250,18244783841.000
2023-07-05,4064.180,4016.53,4088.440,3998.080,13450887002.000
2023-07-06,3977.150,3948.82,4050.700,3908.620,22095601531.000
2023-07-07,3915.600,3901.21,3950.350,3851.820,24247977323.000
2023-07-10,4004.990,3945.11,4025.530,3919.030,21077500123.000
2023-07-11,4011.820,4003.05,4045.410,3975.210,19042069883.000
2023-07-12,4048.730,4081.37,4115.450,4035.770,22671590712.000
2023-07-13,4183.470,4237.09,4239.840,4176.030,36800056739.000
2023-07-14,4280.460,4228.71,4280.460,4200.670,27128080547.000
2023-07-17,4228.710,4228.71,4228.710,4228.710,0.000
2023-07-18,4202.400,4129.29,4202.400,4119.490,26750953382.000
2023-07-19,4064.700,4114.97,4130.270,4023.900,23363188105.000
2023-07-20,4132.320,4063.74,4175.400,4051.030,19446892912.000
2023-07-21,4068.090,4104.36,4143.410,4047.310,19544494866.000
2023-07-24,4041.430,4015.08,4089.980,3989.340,18735635892.000
2023-07-25,4191.530,4257.58,4263.820,4169.770,38821359840.000
2023-07-26,4212.770,4218.83,4230.060,4180.190,19409446950.000
2023-07-27,4296.230,4341.19,4357.520,4287.400,28788418407.000
2023-07-28,4278.650,4466.57,4481.410,4272.160,34736915932.000
2023-07-31,4625.610,4549.95,4688.690,4530.480,52121420135.000
2023-08-01,4599.840,4538.1,4661.380,4505.260,34517823310.000
2023-08-02,4508.850,4388.77,4540.520,4366.140,30118664078.000
2023-08-03,4383.010,4406.44,4459.370,4367.740,23494096998.000
2023-08-04,4511.220,4497.31,4556.960,4444.180,24633577627.000
