tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20190603,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12986.69,-45.84,-0.35,3229617781.0,254.22,100.0,8.75,2019-06-03,8.75,254.22
20190604,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12912.57,-74.11,-0.57,2662521866.0,212.83,100.0,8.74,2019-06-04,8.74,212.83
20190605,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12877.26,-35.31,-0.27,2895295374.0,222.88,100.0,8.74,2019-06-05,8.74,222.88
20190606,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12748.2,-129.06,-1.0,2480261905.0,198.88,100.0,8.7,2019-06-06,8.7,198.88
20190610,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12839.94,91.73,0.72,2814614191.0,220.74,100.0,8.78,2019-06-10,8.78,220.74
20190611,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13151.8,311.86,2.43,4084550906.0,324.89,100.0,8.88,2019-06-11,8.88,324.89
20190612,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13056.91,-94.89,-0.72,3012615656.0,228.33,100.0,8.84,2019-06-12,8.84,228.33
20190613,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13043.04,-13.87,-0.11,2802186591.0,207.82,100.0,8.81,2019-06-13,8.81,207.82
20190614,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12903.34,-139.7,-1.07,3117677900.0,243.57,100.0,8.76,2019-06-14,8.76,243.57
20190617,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12933.49,30.15,0.23,2070927177.0,143.96,100.0,8.31,2019-06-17,8.31,143.96
