tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20160606,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7837.15,7838.8,7801.43,7825.53,,-0.14,1886760802.0,203.54,,,2016-06-06,,203.54
20160607,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7832.99,7842.72,7816.0,7838.85,,0.17,1671198861.0,184.56,,,2016-06-07,,184.56
20160608,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7816.87,7816.87,7754.29,7788.69,,-0.64,1810860650.0,182.78,,,2016-06-08,,182.78
20160613,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7730.27,7743.99,7604.94,7604.94,,-2.36,2529980175.0,225.13,,,2016-06-13,,225.13
20160614,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7595.28,7643.07,7595.28,7643.07,,0.5,1808953431.0,164.65,,,2016-06-14,,164.65
20160615,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7588.12,7755.52,7588.12,7750.32,,1.4,2403686672.0,225.83,,,2016-06-15,,225.83
20160616,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7729.08,7745.51,7704.32,7715.61,,-0.45,2628304009.0,216.23,,,2016-06-16,,216.23
20160617,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7724.52,7795.79,7724.52,7771.29,,0.72,2524207478.0,220.51,,,2016-06-17,,220.51
20160620,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7776.78,7776.78,7733.95,7773.74,,0.03,1674138541.0,152.49,,,2016-06-20,,152.49
20160621,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7791.6,7819.16,7741.44,7750.97,,-0.29,2235802145.0,195.09,,,2016-06-21,,195.09
20160622,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7736.84,7809.15,7736.84,7809.15,,0.75,1784163338.0,155.14,,,2016-06-22,,155.14
20160623,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7787.95,7787.95,7740.23,7760.18,,-0.63,1861530135.0,154.4,,,2016-06-23,,154.4
20160624,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7741.33,7766.52,7624.6,7670.81,,-1.15,3207236437.0,252.93,,,2016-06-24,,252.93
20160627,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7645.5,7762.73,7645.5,7762.73,,1.2,2243717189.0,205.14,,,2016-06-27,,205.14
20160628,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7730.7,7774.9,7712.69,7774.9,,0.16,2144614291.0,196.13,,,2016-06-28,,196.13
20160629,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7781.97,7803.07,7776.7,7802.21,,0.35,2732550311.0,238.47,,,2016-06-29,,238.47
20160630,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7800.51,7824.95,7800.51,7813.09,,0.14,2214865151.0,213.31,,,2016-06-30,,213.31
20160701,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7816.31,7847.29,7816.31,7827.5,,0.18,2024481438.0,181.23,,,2016-07-01,,181.23
20160704,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7808.48,7956.51,7808.48,7955.53,,1.64,3638484967.0,315.66,,,2016-07-04,,315.66
20160705,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7949.52,7981.36,7949.52,7977.71,,0.28,3237750752.0,311.18,,,2016-07-05,,311.18
20160706,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7958.62,8029.1,7929.44,8028.86,,0.64,4630057364.0,515.08,,,2016-07-06,,515.08
20160707,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7985.31,8003.01,7959.97,7986.83,,-0.52,3152722288.0,357.62,,,2016-07-07,,357.62
20160708,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7940.11,7940.11,7897.29,7921.63,,-0.82,2375003304.0,267.14,,,2016-07-08,,267.14
20160711,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7928.62,8052.12,7928.62,7985.75,,0.81,4231798015.0,396.56,,,2016-07-11,,396.56
20160712,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7980.69,8168.98,7980.69,8168.98,,2.29,5233850823.0,511.91,,,2016-07-12,,511.91
20160713,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8159.48,8203.01,8154.87,8171.24,,0.03,5165279533.0,485.08,,,2016-07-13,,485.08
20160714,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8158.87,8158.87,8111.98,8137.38,,-0.41,2933945769.0,279.95,,,2016-07-14,,279.95
20160715,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8145.0,8170.22,8126.16,8159.0,,0.27,2698443968.0,268.39,,,2016-07-15,,268.39
20160718,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8144.98,8198.02,8138.49,8164.02,,0.06,3314397344.0,313.78,,,2016-07-18,,313.78
20160719,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8154.41,8154.41,8059.39,8097.77,,-0.81,2752585229.0,285.88,,,2016-07-19,,285.88
20160720,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8092.07,8116.95,8080.97,8086.82,,-0.14,2131492686.0,216.65,,,2016-07-20,,216.65
20160721,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8087.44,8167.12,8087.44,8127.16,,0.5,2522517199.0,262.15,,,2016-07-21,,262.15
20160722,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8120.48,8120.48,8024.98,8032.52,,-1.17,2462681595.0,254.91,,,2016-07-22,,254.91
20160725,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8021.75,8088.38,8021.75,8056.13,,0.29,2208476932.0,227.52,,,2016-07-25,,227.52
20160726,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8043.69,8171.66,8043.69,8171.66,,1.43,2573613846.0,268.68,,,2016-07-26,,268.68
20160727,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8168.02,8211.32,7997.96,8104.04,,-0.83,4927770315.0,471.05,,,2016-07-27,,471.05
20160728,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8069.18,8207.01,8066.29,8200.93,,1.2,3844883508.0,393.21,,,2016-07-28,,393.21
20160729,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8193.85,8256.13,8181.7,8183.14,,-0.22,3230664462.0,340.34,,,2016-07-29,,340.34
20160801,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,8169.91,8169.91,8064.42,8109.59,,-0.9,3115579841.0,306.21,,,2016-08-01,,306.21
