date,close
1923-02-28,9.28
1923-03-31,9.43
1923-04-30,9.1
1923-05-31,8.67
1923-06-30,8.34
1923-07-31,8.06
1923-08-31,8.1
1923-09-30,8.15
1923-10-31,8.03
1923-11-30,8.27
1923-12-31,8.55
1924-01-31,8.83
1924-02-29,8.87
1924-03-31,8.7
1924-04-30,8.5
1924-05-31,8.47
1924-06-30,8.63
1924-07-31,9.03
1924-08-31,9.34
1924-09-30,9.25
1924-10-31,9.13
1924-11-30,9.64
1924-12-31,10.16
1925-01-31,10.58
1925-02-28,10.67
1925-03-31,10.39
1925-04-30,10.28
1925-05-31,10.61
1925-06-30,10.8
1925-07-31,11.1
1925-08-31,11.25
1925-09-30,11.51
1925-10-31,11.89
1925-11-30,12.26
1925-12-31,12.46
1926-01-31,12.65
1926-02-28,12.67
1926-03-31,11.81
1926-04-30,11.48
1926-05-31,11.56
1926-06-30,12.11
1926-07-31,12.62
1926-08-31,13.12
1926-09-30,13.32
1926-10-31,13.02
1926-11-30,13.19
1926-12-31,13.49
1927-01-31,13.4
1927-02-28,13.66
1927-03-31,13.87
1927-04-30,14.21
1927-05-31,14.7
1927-06-30,14.89
1927-07-31,15.22
1927-08-31,16.03
1927-09-30,16.94
1927-10-31,16.68
1927-11-30,17.06
1927-12-31,17.46
1928-01-31,17.53
1928-02-29,17.32
1928-03-31,18.25
1928-04-30,19.4
1928-05-31,20.0
1928-06-30,19.02
1928-07-31,19.16
1928-08-31,19.78
1928-09-30,21.17
1928-10-31,21.6
1928-11-30,23.06
1928-12-31,23.15
1929-01-31,24.86
1929-02-28,24.99
1929-03-31,25.43
1929-04-30,25.28
1929-05-31,25.66
1929-06-30,26.15
1929-07-31,28.48
1929-08-31,30.1
1929-09-30,31.3
1929-10-31,27.99
1929-11-30,20.58
1929-12-31,21.4
1930-01-31,21.71
1930-02-28,23.07
1930-03-31,23.94
1930-04-30,25.46
1930-05-31,23.94
1930-06-30,21.52
1930-07-31,21.06
1930-08-31,20.79
1930-09-30,20.78
1930-10-31,17.92
1930-11-30,16.62
1930-12-31,15.51
1931-01-31,15.98
1931-02-28,17.2
1931-03-31,17.53
1931-04-30,15.86
1931-05-31,14.33
1931-06-30,13.87
1931-07-31,14.33
1931-08-31,13.9
1931-09-30,11.83
1931-10-31,10.25
1931-11-30,10.39
1931-12-31,8.44
1932-01-31,8.3
1932-02-29,8.23
1932-03-31,8.26
1932-04-30,6.28
1932-05-31,5.51
1932-06-30,4.77
1932-07-31,5.01
1932-08-31,7.53
1932-09-30,8.26
1932-10-31,7.12
1932-11-30,7.05
1932-12-31,6.82
1933-01-31,7.09
1933-02-28,6.25
1933-03-31,6.23
1933-04-30,6.89
1933-05-31,8.87
1933-06-30,10.39
